date,workout_title,exercise_title,total_sets,total_reps,max_weight_kg,avg_weight_kg,total_volume_kg
2026-06-26,Morning workout ☀️,Seated Incline Curl (Dumbbell),4,40,9.071858188712795,8.5,340.1946820767298
2026-06-26,Morning workout ☀️,Seated Cable Row - V Grip (Cable),4,42,65.77097186816776,59.0,2476.6172855185932
2026-06-26,Morning workout ☀️,Bicep Curl (Cable),3,35,15.87575183024739,15.1,528.4357394925203
2026-06-26,Morning workout ☀️,Rear Delt Reverse Fly (Cable),3,26,6.8038936415345965,6.0,154.2215892081175
2026-06-25,Morning workout ☀️,Bench Press (Barbell),8,58,92.98654643430615,83.9,4427.066796091844
2026-06-25,Morning workout ☀️,Skullcrusher (Dumbbell),4,40,9.071858188712795,8.5,340.1946820767298
2026-06-25,Morning workout ☀️,Incline Bench Press (Dumbbell),3,29,27.215574566138386,24.9,721.2127260026673
2026-06-25,Morning workout ☀️,Single Arm Triceps Pushdown (Cable),3,35,6.8038936415345965,6.4,221.1265433498744
2026-06-25,Morning workout ☀️,Lateral Raise (Dumbbell),3,32,11.339822735890994,9.8,308.443178416235
2026-06-22,Morning workout ☀️,Pull Up (Weighted),4,27,18.14371637742559,15.3,387.821937567472
2026-06-22,Morning workout ☀️,Single Arm Cable Row,3,24,31.75150366049478,31.8,762.0360878518748
2026-06-22,Morning workout ☀️,Face Pull,3,30,18.14371637742559,18.1,544.3114913227678
2026-06-22,Morning workout ☀️,Bicep Curl (Cable),3,36,13.607787283069193,12.9,462.6647676243526
2026-06-22,Morning workout ☀️,Rope Straight Arm Pulldown,3,34,27.215574566138386,27.2,925.3295352487052
2026-06-21,Morning workout ☀️,Bench Press (Barbell),7,47,95.25451098148434,81.6,3642.351062768187
2026-06-21,Morning workout ☀️,Overhead Press (Barbell),4,27,43.091326396385774,43.1,1163.4658127024159
2026-06-21,Morning workout ☀️,Skullcrusher (Dumbbell),4,42,9.071858188712795,7.4,303.9072493218787
2026-06-21,Morning workout ☀️,Chest Fly (Dumbbell),3,39,11.339822735890994,11.3,442.2530866997488
2026-06-21,Morning workout ☀️,Single Arm Triceps Pushdown (Cable),3,34,6.8038936415345965,6.8,231.3323838121763
