date,session_count_cardio,total_minutes_cardio,cardio_total_km,cardio_avg_hr,activity_types,hr_zone_1_mins,hr_zone_2_mins,hr_zone_3_mins,hr_zone_4_mins,hr_zone_5_mins
2026-05-23,2,86.2,1.33,125.85000000000001,Run|WeightTraining,14.0,16.8,22.9,2.0,0.3
2026-05-22,4,92.5,8.91,129.25,Rowing|Run|Walk|WeightTraining,6.6,16.4,14.8,14.7,
2026-05-21,2,80.5,2.05,140.45,Run|WeightTraining,3.3,13.7,25.2,6.7,
2026-05-19,2,101.3,0.0,113.3,WeightTraining,30.4,19.2,5.4,0.7,
2026-05-16,1,605.6,49.06,125.5,Run,189.7,255.4,201.1,16.9,
2026-05-14,1,43.1,0.0,116.1,WeightTraining,10.4,9.6,3.0,1.2,0.0
2026-05-13,2,103.6,9.5,127.25,Ride|WeightTraining,13.9,33.8,21.3,7.0,
2026-05-12,2,61.5,6.48,131.25,Rowing,6.2,25.2,25.5,4.6,
2026-05-11,1,48.0,7.14,154.2,Run,0.3,0.2,21.0,23.1,3.5
2026-05-10,1,210.3,57.31,143.6,Ride,4.4,35.1,123.3,41.8,7.2
2026-05-09,1,81.4,0.0,117.4,WeightTraining,17.7,15.5,8.0,0.6,
2026-05-07,2,97.4,7.48,130.8,Run|WeightTraining,11.4,11.1,47.6,4.8,0.6
2026-05-06,1,45.1,0.0,140.1,StairStepper,0.6,1.6,14.6,0.3,
2026-05-05,3,169.0,25.35,142.1,Ride|StairStepper|WeightTraining,13.8,19.4,20.2,50.0,31.9
2026-05-04,1,60.8,0.0,108.2,WeightTraining,18.0,8.3,2.8,0.2,
2026-05-03,2,176.8,39.17,144.0,Ride|Run,19.1,55.4,80.1,21.9,2.3
2026-05-02,1,84.9,25.62,169.0,Ride,0.7,0.6,4.2,33.3,46.2
2026-04-30,1,42.0,9.57,129.1,Ride,9.4,15.5,13.8,4.5,
2026-04-29,1,57.3,0.0,111.6,WeightTraining,17.5,11.0,1.9,0.0,
2026-04-28,1,42.6,4.03,109.5,Walk,6.3,4.0,0.6,,
2026-04-27,2,104.6,6.54,128.65,Run|WeightTraining,27.1,7.1,20.5,21.3,0.4
2026-04-26,1,203.4,56.19,138.2,Ride,12.8,67.4,80.6,33.7,10.4
2026-04-25,1,88.2,0.0,157.1,Workout,0.8,8.0,10.2,11.8,16.5
2026-04-24,1,49.6,4.66,103.6,Walk,10.0,3.1,0.0,,
2026-04-23,2,159.7,26.36,122.8,Ride|WeightTraining,27.6,43.3,44.3,16.2,7.9
2026-04-22,2,78.9,9.7,140.55,Run|WeightTraining,2.8,5.1,56.6,5.5,0.1
2026-04-21,2,164.8,32.62,130.15,Ride|WeightTraining,19.5,12.3,40.4,57.4,4.6
2026-04-20,2,139.1,5.51,112.4,Hike|WeightTraining,33.8,18.7,4.5,0.2,
2026-04-19,1,161.8,43.26,131.0,Ride,20.6,81.8,44.5,18.0,0.9
2026-04-18,2,165.6,30.159999999999997,148.55,Ride|Run,4.1,15.8,104.1,31.3,10.4
2026-04-17,1,41.1,12.1,158.0,Ride,0.4,1.9,8.4,23.2,7.4
2026-04-16,2,77.9,0.75,122.35,Ride|WeightTraining,16.0,17.9,7.1,1.7,0.0
2026-04-15,1,56.3,9.73,145.7,Run,0.4,2.4,44.6,9.2,
2026-04-14,4,231.6,41.37,139.0,Ride|StairStepper|WeightTraining,22.5,44.5,51.5,24.4,7.4
2026-04-13,3,132.1,9.26,131.66666666666666,Run|StairStepper|WeightTraining,19.8,11.4,33.7,22.3,3.0
2026-04-11,1,78.7,0.0,129.4,WeightTraining,8.2,15.7,10.7,4.6,0.4
2026-04-10,1,52.1,0.0,137.1,WeightTraining,3.6,9.6,9.9,4.5,0.1
2026-04-09,2,139.3,5.5,101.5,Hike|WeightTraining,40.6,12.3,5.1,1.1,
2026-04-08,1,46.3,8.26,144.8,Run,0.7,0.8,41.8,3.1,
2026-04-07,2,100.1,7.06,130.45,Run|WeightTraining,21.1,8.9,22.8,8.3,9.5
2026-04-05,1,381.7,93.48,144.5,Ride,16.4,25.7,68.1,49.9,0.7
2026-04-04,2,56.7,5.8100000000000005,127.30000000000001,Hike|Run,7.1,4.0,10.1,10.0,3.7
2026-04-03,3,124.1,16.3,121.13333333333333,Ride|WeightTraining,16.8,49.4,6.0,0.1,
2026-04-01,2,132.2,10.44,142.4,Run|WeightTraining,6.8,16.8,22.2,38.2,11.4
2026-03-31,3,130.2,10.54,136.6,Ride|StairStepper|WeightTraining,21.0,23.6,16.8,12.6,1.6
2026-03-29,1,32.3,1.87,91.2,Walk,9.7,,,,
2026-03-28,2,88.9,18.17,139.85000000000002,Ride|WeightTraining,4.4,4.8,12.1,34.9,14.8
2026-03-27,1,47.5,0.0,144.3,WeightTraining,1.1,7.2,9.2,6.1,2.4
2026-03-26,2,52.8,1.28,112.15,Rowing|WeightTraining,14.7,14.2,1.3,,
2026-03-25,2,121.4,22.32,141.7,Ride|Run,2.9,7.7,91.4,15.0,
2026-03-24,4,280.8,53.86,143.825,Ride|Run|WeightTraining,21.8,33.8,42.8,57.0,34.9
2026-03-23,1,92.1,0.0,106.1,WeightTraining,36.0,8.8,4.0,,
2026-03-22,1,110.0,25.86,140.4,Ride,11.8,20.0,45.6,24.5,0.5
